fit_model_type,model_parameter,subject,bootstrap_num,fit_value
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,40,-0.020843636244535446
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,40,0.0349082425236702
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,40,0.02028491906821728
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,40,0.051576700061559684
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,40,0.472662478685379
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,75,3.684403896331787
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,75,0.014074483886361122
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,75,-0.014171930961310862
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,75,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,75,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,75,-0.06310097128152847
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,75,-0.03816699981689453
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,75,-0.13644488155841827
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,75,0.04535406827926637
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,75,-0.008756413124501705
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,75,0.6637458801269531
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,86,3.315990209579468
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,86,0.0037917164154350758
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,86,-0.019088651984930042
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,86,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,86,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,86,-0.06943923234939575
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,86,-0.013139596208930016
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,86,-0.06079058721661568
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,86,0.027210323140025142
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,86,0.03004577197134495
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,86,0.4743571281433106
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,83,3.372310400009156
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,83,-0.002068900503218174
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,83,-0.01105803158134222
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,83,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,83,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,83,-0.060764476656913764
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,83,-0.017450885847210884
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,83,-0.13104449212551114
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,83,0.07049401849508287
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,83,0.0388985201716423
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,83,0.4797850847244263
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,1,3.04202651977539
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,1,0.0032511944882571697
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,1,-0.011507710441946985
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,1,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,1,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,1,0.0009357138769701123
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,1,-0.04299701377749443
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,1,0.03952745348215103
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,1,-0.029033180326223373
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,1,0.07106577605009079
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,1,0.4554230868816376
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,14,2.886324882507324
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,14,0.022896859794855118
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,14,-0.014021618291735649
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,14,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,14,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,14,0.006081652361899614
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,14,-0.021192673593759537
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,14,0.01963500119745732
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,14,0.04620986059308052
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,14,0.07025014609098433
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,14,0.4118005335330963
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,32,2.89977765083313
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,32,-0.009292331524193287
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,32,-0.01805294305086136
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,32,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,32,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,32,0.012553983367979528
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,32,-0.023375546559691436
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,32,0.025232274085283283
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,32,0.019664227962493896
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,32,0.08543168753385544
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,32,0.35207074880599976
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,80,2.973168134689331
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,80,0.0036469704937189813
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,80,-0.011391479521989822
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,80,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,80,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,80,-0.021354032680392262
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,80,-0.014751682057976724
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,80,-0.015539244748651981
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,80,0.0333142951130867
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,80,0.06378868222236632
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,80,0.4136340320110321
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,57,3.2699909210205083
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,57,0.008233542554080486
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,57,-0.012841694988310335
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,57,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,57,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,57,-0.061345845460891724
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,57,-0.022221913561224937
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,57,-0.046800605952739716
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,57,0.0033115053083747625
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,57,0.026749346405267715
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,57,0.5036896467208862
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,5,3.050610303878784
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,5,-0.007986041717231274
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,5,-0.012988840229809284
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,5,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,5,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,5,-0.01734047941863537
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,5,-0.02472919225692749
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,5,0.050823990255594254
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,5,-0.0397106371819973
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,5,0.04976540058851242
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,5,0.464465856552124
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,51,2.7583942413330083
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,51,0.0043757669627666465
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,51,-0.01358798984438181
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,51,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,51,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,51,0.00780310807749629
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,51,-0.025157710537314408
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,51,0.0810415968298912
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,51,0.009275385178625584
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,51,0.09490855783224106
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,51,0.3668410181999207
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,34,3.0743296146392822
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,34,-0.0017275642603635788
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,34,-0.01274220645427704
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,34,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,34,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,34,-0.0351950004696846
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,34,-0.01690562628209591
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,34,-0.040453244000673294
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,34,0.0222559217363596
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,34,0.03837453573942184
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,34,0.5048134922981262
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,72,2.9793243408203125
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,72,0.014484249986708162
